# Constructed from biom file					
OTU_ID	BHBS	BPS	ISED	LBS	taxa
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__LD-RB-34	0	0.002198589	0.000855768	0	LD-RB-34
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SB-5	0	0.020349729	0.013286928	0.021094527	SB-5
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96	0	0	0.004229706	0	KD4-96
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	0	0.001533899	0.003533627	0	Flavobacteriaceae
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1)	0.095813048	0	3.28E-05	0	Acidobacteriaceae_(Subgroup_1)
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	0	0.020094079	0.041379875	0.041393035	Anaerolineaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae	0	0.01763984	0.010486232	0	Gallionellaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0	0	3.28E-05	0	Tannerellaceae
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured	0	0.006953676	0.006322039	0.003781095	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0	0.002096329	0.0024199	0.000995025	Hyphomicrobiaceae
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0.001227119	0.000565053	0	Methanobacteriaceae
d__Bacteria;p__Nitrospinota;c__P9X2b3D02;o__P9X2b3D02;f__P9X2b3D02	0	0.003988138	0.004336165	0	P9X2b3D02
d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales	0	0.00020452	0.009880233	0.009353234	Aminicenantales
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae	0.140019474	0	0.000933565	0	Rhodanobacteraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae	0	0.00081808	0.001912171	0	Diplorickettsiaceae
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae	0	0.007260456	0.008963046	0.007761194	Syntrophaceae
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__OPB41	0	0.001789549	0.002157846	0.00278607	OPB41
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;__	0	0.006493506	0.00478657	0.019104478	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;__
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae	0	0	0.026471491	0	Arcobacteraceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0	0	0.005003583	0	Rhodobacteraceae
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured	0	0.014367522	0.00523288	0.048159204	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15	0	0.00076695	0.002247927	0	PeM15
d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__BSV26	0	0.012526843	0.006907565	0.048557214	BSV26
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__uncultured	0	0.001431639	0.001539564	0.003383085	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__uncultured
d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae	0	0.002351979	0.003324803	0.000597015	Latescibacteraceae
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0	0	8.19E-05	0	Acidaminococcaceae
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__PHOS-HE36	0	0.003476838	0.003775207	0	PHOS-HE36
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0	0.001175989	0.000876241	0	Microbacteriaceae
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__uncultured	0	0.00046017	0.001817996	0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__uncultured
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured	0	0.001942939	0.002944007	0.001393035	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured
