# Constructed from biom file									
OTU_ID	BB	BP01	BP02	BP03	LB	MC1	MC2	N_ctrl	taxa
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caloramatoraceae	0.000783239	0.000369549	0.000571102	0.000151814	0	0	0	0	Caloramatoraceae
d__Bacteria;p__Firmicutes;c__Symbiobacteriia;o__Symbiobacteriales;f__Symbiobacteraceae	0.001566477	0	0	0	0	0	0	0	Symbiobacteraceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae	0.000391619	0.000554324	0.000571102	0.000455443	0	0	0	0	Rickettsiaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.00019581	0.000923873	0.000285551	0.000303628	0	0.135392723	0.029044535	0	Bacillaceae
d__Bacteria;__;__;__;__	0.000391619	0.002956393	0.003997716	0.003795354	0	0	0.000133538	0	d__Bacteria;__;__;__;__
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae	0.000391619	0.00886918	0.00770988	0.001366328	0	0	0	0	Hungateiclostridiaceae
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409	0.000391619	0	0	0	0	0	0	0	UBA12409
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	0.00019581	0.000739098	0.000285551	0.004554425	0.045454545	0	0	0	Beijerinckiaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.00019581	0.000554324	0	0.003036284	0.03030303	0.010595952	0.003004607	0	Pseudomonadaceae
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae	0.00019581	0	0	0	0	0.166563884	0.140749149	0	Staphylococcaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0	0.150960828	0.154197601	0.158190375	0.121212121	0	0	0	Comamonadaceae
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae	0	0.007945307	0.016847516	0.009412479	0.015151515	0	0	0	Syntrophaceae
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales	0	0.00203252	0	0.001062699	0	0	0	0	Kapabacteriales
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	0	0.000184775	0	0.000303628	0	0	0	0	Blastocatellaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Amoebophilaceae	0	0.000369549	0	0.000151814	0	0	0	0	Amoebophilaceae
d__Bacteria;p__Sva0485;c__Sva0485;o__Sva0485;f__Sva0485	0	0.004249815	0.01027984	0.002429027	0	0	0	0	Sva0485
