file	percent	reads	taxon_id	taxa
BP.kaiju.out	0.103532	94539	2211325	Vicinamibacteraceae
BP.kaiju.out	0.100683	91937	1400857	Candidatus Competibacteraceae
BP.kaiju.out	0.098905	90314	171550	Rikenellaceae
BP.kaiju.out	0.095665	87355	1268	Micrococcaceae
BP.kaiju.out	0.093859	85706	335928	Xanthobacteraceae
BP.kaiju.out	0.091487	83540	186803	Lachnospiraceae
BP.kaiju.out	0.090637	82764	171552	Prevotellaceae
BP.kaiju.out	0.088168	80509	2831106	Devosiaceae
BP.kaiju.out	0.087217	79641	2448023	Ilumatobacteraceae
BP.kaiju.out	0.084945	77566	1499392	Chromobacteriaceae
BP.kaiju.out	0.083868	76583	1840213	Lentimicrobiaceae
BP.kaiju.out	0.083076	75860	85016	Cellulomonadaceae
BP.kaiju.out	0.080156	73193	31957	Propionibacteriaceae
BP.kaiju.out	0.078616	71787	2829815	Azospirillaceae
BP.kaiju.out	0.078151	71362	85025	Nocardiaceae
BP.kaiju.out	0.070873	64717	1890438	Leptolyngbyaceae
BP.kaiju.out	0.068907	62921	2650922	Aestuariivirgaceae
BP.kaiju.out	0.067947	62045	543	Enterobacteriaceae
BP.kaiju.out	0.066913	61101	69657	Hyphomonadaceae
BP.kaiju.out	0.06395	58395	3023783	Desulfobacteriaceae
BP.kaiju.out	0.062731	57282	200667	Flammeovirgaceae
BP.kaiju.out	0.06215	56751	1162	Nostocaceae
BP.kaiju.out	0.062016	56629	468	Moraxellaceae
BP.kaiju.out	0.059993	54782	568386	Sinobacteraceae
BP.kaiju.out	0.058517	53434	89377	Crenotrichaceae
BP.kaiju.out	0.057597	52594	641	Vibrionaceae
BP.kaiju.out	0.057197	52229	2931039	Desulfococcaceae
BP.kaiju.out	0.056488	51581	475964	Caldilineaceae
BP.kaiju.out	0.056183	51303	2760872	Tenuifilaceae
BP.kaiju.out	0.055962	51101	2194	Methanomicrobiaceae
BP.kaiju.out	0.055521	50698	2004	Streptosporangiaceae
BP.kaiju.out	0.053043	48435	1853230	Crocinitomicaceae
BP.kaiju.out	0.052333	47787	415002	Puniceicoccaceae
BP.kaiju.out	0.05223	47693	28256	Halomonadaceae
BP.kaiju.out	0.051495	47022	191412	Chlorobiaceae
BP.kaiju.out	0.050967	46540	2803844	Usitatibacteraceae
BP.kaiju.out	0.050473	46089	135620	Oceanospirillaceae
BP.kaiju.out	0.049652	45339	89374	Saprospiraceae
BP.kaiju.out	0.049486	45187	135617	Thiotrichaceae
BP.kaiju.out	0.048399	44195	2831100	Boseaceae
BP.kaiju.out	0.047331	43220	1692041	Acidiferrobacteraceae
BP.kaiju.out	0.047279	43172	186807	Peptococcaceae
BP.kaiju.out	0.04597	41977	72275	Alteromonadaceae
BP.kaiju.out	0.045671	41704	1706371	Cellvibrionaceae
BP.kaiju.out	0.045542	41586	85031	Nakamurellaceae
BP.kaiju.out	0.045508	41555	2038695	Williamwhitmaniaceae
BP.kaiju.out	0.045453	41505	1813606	Balneolaceae
BP.kaiju.out	0.04502	41109	3031656	Desulfobaccaceae
BP.kaiju.out	0.044685	40803	2820280	Sphingosinicellaceae
BP.kaiju.out	0.043801	39996	1127830	Candidatus Brocadiaceae
BP.kaiju.out	0.043057	39317	1836792	Chthoniobacteraceae
BP.kaiju.out	0.042337	38659	1843490	Sporomusaceae
BP.kaiju.out	0.042003	38354	2831111	Kaistiaceae
BP.kaiju.out	0.04188	38242	2844375	Reyranellaceae
BP.kaiju.out	0.041411	37814	1937961	Haliscomenobacteraceae
BP.kaiju.out	0.041108	37537	1577788	Methanomassiliicoccaceae
BP.kaiju.out	0.040498	36980	2159	Methanobacteriaceae
BP.kaiju.out	0.03998	36507	84642	Aeromonadaceae
BP.kaiju.out	0.039776	36321	84994	Acidimicrobiaceae
BP.kaiju.out	0.03876	35393	1937960	Lewinellaceae
BP.kaiju.out	0.038441	35102	1771355	Tepidisphaeraceae
BP.kaiju.out	0.037412	34162	45404	Beijerinckiaceae
BP.kaiju.out	0.037202	33970	118968	Coxiellaceae
BP.kaiju.out	0.037125	33900	85030	Geodermatophilaceae
BP.kaiju.out	0.035829	32717	1853231	Odoribacteraceae
BP.kaiju.out	0.035731	32627	170	Leptospiraceae
